Ticker,Date,Time,LTP,BuyPrice,BuyQty,SellPrice,SellQty,LTQ,OpenInterest
FINNIFTY02JAN2419900PE.NFO,02/01/2024,09:15:02,0.1,0.25,1200,0.85,200,400,51960
FINNIFTY02JAN2419900PE.NFO,02/01/2024,09:15:02,0.1,0.25,1200,0.85,200,0,51960
FINNIFTY02JAN2419900PE.NFO,02/01/2024,09:15:02,0.1,0.25,1200,0.85,200,0,51960
FINNIFTY02JAN2419900PE.NFO,02/01/2024,09:15:02,0.1,0.25,1200,0.85,200,0,51960
FINNIFTY02JAN2419900PE.NFO,02/01/2024,09:15:16,0.25,0.25,21120,0.7,720,1960,51960
FINNIFTY02JAN2419900PE.NFO,02/01/2024,09:15:16,0.35,0.25,21120,0.7,720,0,51960
FINNIFTY02JAN2419900PE.NFO,02/01/2024,09:15:28,0.25,0.25,17200,0.6,2320,3920,51960
FINNIFTY02JAN2419900PE.NFO,02/01/2024,09:15:39,0.25,0.25,18000,0.4,2720,0,51960
FINNIFTY02JAN2419900PE.NFO,02/01/2024,09:15:50,0.4,0.25,18000,0.4,4240,200,51960
FINNIFTY02JAN2419900PE.NFO,02/01/2024,09:15:50,0.4,0.25,18000,0.4,4240,0,51960
FINNIFTY02JAN2419900PE.NFO,02/01/2024,09:16:00,0.4,0.25,17920,0.35,2400,0,51960
FINNIFTY02JAN2419900PE.NFO,02/01/2024,09:16:12,0.25,0.25,16760,0.3,5480,1360,51960
FINNIFTY02JAN2419900PE.NFO,02/01/2024,09:16:21,0.25,0.25,17320,0.3,5480,0,51960
FINNIFTY02JAN2419900PE.NFO,02/01/2024,09:16:41,0.25,0.25,16680,0.3,5480,640,51960
FINNIFTY02JAN2419900PE.NFO,02/01/2024,09:16:50,0.25,0.25,16480,0.3,6920,200,51960
FINNIFTY02JAN2419900PE.NFO,02/01/2024,09:17:00,0.25,0.25,16280,0.3,6920,200,51960
FINNIFTY02JAN2419900PE.NFO,02/01/2024,09:17:10,0.25,0.25,16400,0.3,7480,0,51960
FINNIFTY02JAN2419900PE.NFO,02/01/2024,09:17:19,0.25,0.25,13920,0.3,10720,2480,51960
FINNIFTY02JAN2419900PE.NFO,02/01/2024,09:17:29,0.25,0.25,27760,0.3,12280,4520,51440
FINNIFTY02JAN2419900PE.NFO,02/01/2024,09:17:38,0.25,0.25,25000,0.3,18040,3040,51440
FINNIFTY02JAN2419900PE.NFO,02/01/2024,09:17:48,0.25,0.25,22120,0.3,22680,3040,51440
FINNIFTY02JAN2419900PE.NFO,02/01/2024,09:17:58,0.25,0.25,19080,0.3,24440,3040,51440
FINNIFTY02JAN2419900PE.NFO,02/01/2024,09:18:07,0.25,0.25,19080,0.3,24440,0,51440
FINNIFTY02JAN2419900PE.NFO,02/01/2024,09:18:16,0.25,0.25,20480,0.3,24440,0,51440
FINNIFTY02JAN2419900PE.NFO,02/01/2024,09:18:36,0.25,0.2,50160,0.25,22960,21560,51440
FINNIFTY02JAN2419900PE.NFO,02/01/2024,09:18:46,0.25,0.2,77440,0.25,30480,0,51440
FINNIFTY02JAN2419900PE.NFO,02/01/2024,09:18:55,0.25,0.2,77880,0.25,30480,0,51440
FINNIFTY02JAN2419900PE.NFO,02/01/2024,09:19:45,0.25,0.2,77880,0.25,32280,0,51440
FINNIFTY02JAN2419900PE.NFO,02/01/2024,09:19:55,0.25,0.2,77880,0.25,34320,400,51440
FINNIFTY02JAN2419900PE.NFO,02/01/2024,09:20:06,0.25,0.2,77800,0.25,34320,0,51440
FINNIFTY02JAN2419900PE.NFO,02/01/2024,09:21:04,0.25,0.2,77800,0.25,35120,720,79600
FINNIFTY02JAN2419900PE.NFO,02/01/2024,09:21:14,0.25,0.2,77760,0.25,33720,1440,79600
FINNIFTY02JAN2419900PE.NFO,02/01/2024,09:21:25,0.2,0.2,81600,0.25,35960,520,79600
FINNIFTY02JAN2419900PE.NFO,02/01/2024,09:21:35,0.25,0.2,81560,0.25,34560,1440,79600
FINNIFTY02JAN2419900PE.NFO,02/01/2024,09:21:45,0.25,0.2,81720,0.25,34560,0,79600
FINNIFTY02JAN2419900PE.NFO,02/01/2024,09:22:18,0.25,0.2,82320,0.25,34320,0,79600
FINNIFTY02JAN2419900PE.NFO,02/01/2024,09:23:09,0.25,0.2,82240,0.25,34280,40,79600
FINNIFTY02JAN2419900PE.NFO,02/01/2024,09:23:37,0.25,0.2,82240,0.25,34000,280,79360
FINNIFTY02JAN2419900PE.NFO,02/01/2024,09:23:56,0.25,0.2,82240,0.25,34120,120,79360
FINNIFTY02JAN2419900PE.NFO,02/01/2024,09:24:05,0.25,0.2,82240,0.25,33560,560,79360
FINNIFTY02JAN2419900PE.NFO,02/01/2024,09:24:14,0.25,0.2,82800,0.25,33480,80,79360
FINNIFTY02JAN2419900PE.NFO,02/01/2024,09:24:24,0.25,0.2,83200,0.25,33440,40,79360
FINNIFTY02JAN2419900PE.NFO,02/01/2024,09:24:45,0.25,0.2,83200,0.25,33400,40,79360
FINNIFTY02JAN2419900PE.NFO,02/01/2024,09:24:54,0.25,0.2,83120,0.25,30800,1560,79360
FINNIFTY02JAN2419900PE.NFO,02/01/2024,09:25:05,0.25,0.2,83120,0.25,30560,680,79360
FINNIFTY02JAN2419900PE.NFO,02/01/2024,09:25:16,0.25,0.2,83120,0.25,33840,40,79360
FINNIFTY02JAN2419900PE.NFO,02/01/2024,09:25:26,0.25,0.2,83120,0.25,33440,400,79360
FINNIFTY02JAN2419900PE.NFO,02/01/2024,09:25:36,0.25,0.2,83120,0.25,32960,480,79360
FINNIFTY02JAN2419900PE.NFO,02/01/2024,09:25:46,0.25,0.2,83120,0.25,29840,1840,79360
FINNIFTY02JAN2419900PE.NFO,02/01/2024,09:25:55,0.25,0.2,83120,0.25,26920,1880,79360
FINNIFTY02JAN2419900PE.NFO,02/01/2024,09:26:05,0.25,0.2,83120,0.25,25160,1760,79360
FINNIFTY02JAN2419900PE.NFO,02/01/2024,09:26:15,0.25,0.2,82720,0.25,22480,880,79360
FINNIFTY02JAN2419900PE.NFO,02/01/2024,09:26:25,0.25,0.2,82720,0.25,11120,5920,79360
FINNIFTY02JAN2419900PE.NFO,02/01/2024,09:26:36,0.3,0.25,12600,0.3,26040,12320,80360
FINNIFTY02JAN2419900PE.NFO,02/01/2024,09:26:46,0.3,0.25,15040,0.3,31480,2560,80360
FINNIFTY02JAN2419900PE.NFO,02/01/2024,09:26:57,0.25,0.25,11200,0.3,36040,4080,80360
FINNIFTY02JAN2419900PE.NFO,02/01/2024,09:27:07,0.25,0.25,9360,0.3,40840,1600,80360
