Ticker,Date,Time,LTP,BuyPrice,BuyQty,SellPrice,SellQty,LTQ,OpenInterest
FINNIFTY02JAN2423300CE.NFO,02/01/2024,09:15:07,0.3,0.4,23560,0.5,2120,40440,46920
FINNIFTY02JAN2423300CE.NFO,02/01/2024,09:15:07,0.3,0.4,23560,0.5,2120,0,46920
FINNIFTY02JAN2423300CE.NFO,02/01/2024,09:15:07,0.4,0.4,23560,0.5,2120,0,46920
FINNIFTY02JAN2423300CE.NFO,02/01/2024,09:15:07,0.3,0.4,23560,0.5,2120,0,46920
FINNIFTY02JAN2423300CE.NFO,02/01/2024,09:15:20,0.25,0.2,4480,0.25,2400,29000,46920
FINNIFTY02JAN2423300CE.NFO,02/01/2024,09:15:20,0.25,0.2,4480,0.25,2400,0,46920
FINNIFTY02JAN2423300CE.NFO,02/01/2024,09:15:31,0.25,0.2,5360,0.25,800,1600,46920
FINNIFTY02JAN2423300CE.NFO,02/01/2024,09:15:40,0.2,0.2,2840,0.25,2440,2960,46920
FINNIFTY02JAN2423300CE.NFO,02/01/2024,09:15:40,0.2,0.2,2840,0.25,2440,0,46920
FINNIFTY02JAN2423300CE.NFO,02/01/2024,09:15:49,0.2,0.2,1800,0.25,2440,1040,46920
FINNIFTY02JAN2423300CE.NFO,02/01/2024,09:15:58,0.2,0.2,1800,0.25,2440,0,46920
FINNIFTY02JAN2423300CE.NFO,02/01/2024,09:16:08,0.25,0.2,1800,0.25,1840,1120,46920
FINNIFTY02JAN2423300CE.NFO,02/01/2024,09:16:16,0.25,0.2,2080,0.25,1920,200,46920
FINNIFTY02JAN2423300CE.NFO,02/01/2024,09:16:24,0.25,0.2,2080,0.25,3280,440,46920
FINNIFTY02JAN2423300CE.NFO,02/01/2024,09:16:32,0.25,0.2,2120,0.25,5040,0,46920
FINNIFTY02JAN2423300CE.NFO,02/01/2024,09:16:40,0.25,0.2,2160,0.25,5040,0,46920
FINNIFTY02JAN2423300CE.NFO,02/01/2024,09:16:49,0.25,0.2,2360,0.25,5040,0,46920
FINNIFTY02JAN2423300CE.NFO,02/01/2024,09:16:56,0.25,0.2,5960,0.25,5040,0,46920
