Ticker,Date,Time,LTP,BuyPrice,BuyQty,SellPrice,SellQty,LTQ,OpenInterest
FINNIFTY02JAN2419000PE.NFO,02/01/2024,09:15:02,0.15,0.15,30560,0.4,640,40,48720
FINNIFTY02JAN2419000PE.NFO,02/01/2024,09:15:02,0.15,0.15,30560,0.4,640,0,48720
FINNIFTY02JAN2419000PE.NFO,02/01/2024,09:15:02,0.15,0.15,30560,0.4,640,0,48720
FINNIFTY02JAN2419000PE.NFO,02/01/2024,09:15:02,0.15,0.15,30560,0.4,640,0,48720
FINNIFTY02JAN2419000PE.NFO,02/01/2024,09:15:15,0.5,0.2,600,0.4,2160,4000,48720
FINNIFTY02JAN2419000PE.NFO,02/01/2024,09:15:15,0.5,0.2,600,0.4,2160,0,48720
FINNIFTY02JAN2419000PE.NFO,02/01/2024,09:15:27,0.2,0.15,59120,0.4,3760,4280,48720
FINNIFTY02JAN2419000PE.NFO,02/01/2024,09:15:39,0.2,0.2,40,0.4,3840,40,48720
FINNIFTY02JAN2419000PE.NFO,02/01/2024,09:15:49,0.2,0.2,40,0.4,3840,0,48720
FINNIFTY02JAN2419000PE.NFO,02/01/2024,09:16:00,0.2,0.2,40,0.35,3600,0,48720
FINNIFTY02JAN2419000PE.NFO,02/01/2024,09:16:11,0.2,0.2,9160,0.35,4720,160,48720
FINNIFTY02JAN2419000PE.NFO,02/01/2024,09:16:21,0.2,0.2,10320,0.25,400,400,48720
FINNIFTY02JAN2419000PE.NFO,02/01/2024,09:16:31,0.2,0.2,7840,0.25,4760,1120,48720
FINNIFTY02JAN2419000PE.NFO,02/01/2024,09:16:40,0.2,0.2,7240,0.25,7520,600,48720
FINNIFTY02JAN2419000PE.NFO,02/01/2024,09:16:50,0.2,0.2,5640,0.25,9960,4040,48720
FINNIFTY02JAN2419000PE.NFO,02/01/2024,09:17:00,0.2,0.2,2440,0.25,8360,0,48720
FINNIFTY02JAN2419000PE.NFO,02/01/2024,09:17:10,0.2,0.15,59960,0.2,4400,2440,48720
FINNIFTY02JAN2419000PE.NFO,02/01/2024,09:17:19,0.2,0.15,60360,0.2,4680,1040,48720
FINNIFTY02JAN2419000PE.NFO,02/01/2024,09:17:28,0.2,0.15,60560,0.2,4680,0,48720
FINNIFTY02JAN2419000PE.NFO,02/01/2024,09:17:38,0.2,0.15,58680,0.2,3120,1600,46520
FINNIFTY02JAN2419000PE.NFO,02/01/2024,09:17:48,0.25,0.15,64160,0.25,6840,3600,46520
FINNIFTY02JAN2419000PE.NFO,02/01/2024,09:17:57,0.25,0.15,71280,0.25,10440,0,46520
FINNIFTY02JAN2419000PE.NFO,02/01/2024,09:18:07,0.25,0.2,10000,0.25,10440,0,46520
FINNIFTY02JAN2419000PE.NFO,02/01/2024,09:18:55,0.25,0.2,10000,0.25,8640,1800,46520
FINNIFTY02JAN2419000PE.NFO,02/01/2024,09:19:05,0.25,0.2,10000,0.25,8640,0,46520
FINNIFTY02JAN2419000PE.NFO,02/01/2024,09:19:55,0.2,0.2,9080,0.25,11400,3600,46520
FINNIFTY02JAN2419000PE.NFO,02/01/2024,09:20:05,0.2,0.2,9080,0.25,14280,0,46520
FINNIFTY02JAN2419000PE.NFO,02/01/2024,09:20:16,0.2,0.2,9800,0.25,15720,480,46520
FINNIFTY02JAN2419000PE.NFO,02/01/2024,09:20:26,0.2,0.2,9800,0.25,15720,0,46520
FINNIFTY02JAN2419000PE.NFO,02/01/2024,09:20:36,0.25,0.2,8000,0.25,16760,2200,49920
FINNIFTY02JAN2419000PE.NFO,02/01/2024,09:20:45,0.2,0.2,6400,0.25,17400,2400,49920
FINNIFTY02JAN2419000PE.NFO,02/01/2024,09:20:54,0.2,0.2,6400,0.25,21000,0,49920
FINNIFTY02JAN2419000PE.NFO,02/01/2024,09:21:14,0.25,0.2,6400,0.25,20600,400,49920
FINNIFTY02JAN2419000PE.NFO,02/01/2024,09:21:24,0.25,0.2,6040,0.25,17760,80,49920
FINNIFTY02JAN2419000PE.NFO,02/01/2024,09:21:35,0.2,0.2,5560,0.25,20040,480,49920
FINNIFTY02JAN2419000PE.NFO,02/01/2024,09:22:50,0.2,0.2,5560,0.25,20040,0,49920
FINNIFTY02JAN2419000PE.NFO,02/01/2024,09:22:59,0.2,0.2,4360,0.25,20040,1200,49920
FINNIFTY02JAN2419000PE.NFO,02/01/2024,09:23:09,0.2,0.2,4200,0.25,22920,160,49920
FINNIFTY02JAN2419000PE.NFO,02/01/2024,09:23:18,0.2,0.2,4200,0.25,22920,0,49920
FINNIFTY02JAN2419000PE.NFO,02/01/2024,09:23:37,0.25,0.2,4200,0.25,22680,240,54160
FINNIFTY02JAN2419000PE.NFO,02/01/2024,09:23:56,0.2,0.2,600,0.25,22720,3640,54160
FINNIFTY02JAN2419000PE.NFO,02/01/2024,09:24:05,0.25,0.15,70480,0.25,22280,360,54160
FINNIFTY02JAN2419000PE.NFO,02/01/2024,09:24:14,0.25,0.15,70560,0.2,4640,80,54160
FINNIFTY02JAN2419000PE.NFO,02/01/2024,09:24:24,0.2,0.15,71720,0.2,6320,120,54160
FINNIFTY02JAN2419000PE.NFO,02/01/2024,09:24:44,0.2,0.15,71720,0.2,6320,0,54160
FINNIFTY02JAN2419000PE.NFO,02/01/2024,09:24:54,0.2,0.15,71720,0.2,6200,120,54160
FINNIFTY02JAN2419000PE.NFO,02/01/2024,09:25:04,0.2,0.15,71960,0.2,5920,280,54160
FINNIFTY02JAN2419000PE.NFO,02/01/2024,09:25:15,0.2,0.15,71960,0.2,6920,520,54160
FINNIFTY02JAN2419000PE.NFO,02/01/2024,09:25:26,0.2,0.15,72240,0.2,6480,440,54160
FINNIFTY02JAN2419000PE.NFO,02/01/2024,09:25:36,0.2,0.15,72520,0.2,5640,840,54160
FINNIFTY02JAN2419000PE.NFO,02/01/2024,09:25:46,0.2,0.15,72840,0.2,3760,1880,54160
FINNIFTY02JAN2419000PE.NFO,02/01/2024,09:25:55,0.2,0.15,72840,0.2,5760,1600,54160
FINNIFTY02JAN2419000PE.NFO,02/01/2024,09:26:05,0.2,0.15,72800,0.2,2560,3280,54160
FINNIFTY02JAN2419000PE.NFO,02/01/2024,09:26:15,0.25,0.15,70560,0.25,16280,1280,54160
FINNIFTY02JAN2419000PE.NFO,02/01/2024,09:26:25,0.2,0.2,30680,0.25,16280,4960,54160
FINNIFTY02JAN2419000PE.NFO,02/01/2024,09:26:35,0.2,0.2,40760,0.25,9120,1800,62360
FINNIFTY02JAN2419000PE.NFO,02/01/2024,09:26:46,0.2,0.2,38160,0.25,9840,2600,62360
FINNIFTY02JAN2419000PE.NFO,02/01/2024,09:26:57,0.2,0.2,37720,0.25,9840,2640,62360
FINNIFTY02JAN2419000PE.NFO,02/01/2024,09:27:07,0.2,0.2,41200,0.25,9840,120,62360
FINNIFTY02JAN2419000PE.NFO,02/01/2024,09:27:17,0.2,0.2,41080,0.25,9840,120,62360
FINNIFTY02JAN2419000PE.NFO,02/01/2024,09:27:47,0.2,0.2,41080,0.25,9840,0,62360
FINNIFTY02JAN2419000PE.NFO,02/01/2024,09:28:17,0.2,0.2,39680,0.25,8840,2400,62360
FINNIFTY02JAN2419000PE.NFO,02/01/2024,09:28:28,0.2,0.2,39640,0.25,7760,1120,62360
FINNIFTY02JAN2419000PE.NFO,02/01/2024,09:28:41,0.2,0.2,39640,0.25,7760,0,62360
FINNIFTY02JAN2419000PE.NFO,02/01/2024,09:28:54,0.25,0.2,39640,0.25,6960,800,62360
FINNIFTY02JAN2419000PE.NFO,02/01/2024,09:29:05,0.25,0.2,39640,0.25,4960,2000,62360
FINNIFTY02JAN2419000PE.NFO,02/01/2024,09:29:28,0.25,0.2,39640,0.25,4960,0,62360
FINNIFTY02JAN2419000PE.NFO,02/01/2024,09:29:58,0.25,0.2,39640,0.25,6440,0,62360
FINNIFTY02JAN2419000PE.NFO,02/01/2024,09:30:08,0.2,0.2,38160,0.25,4960,1480,72040
FINNIFTY02JAN2419000PE.NFO,02/01/2024,09:30:38,0.2,0.2,38160,0.25,4960,0,72040
FINNIFTY02JAN2419000PE.NFO,02/01/2024,09:30:58,0.25,0.2,38160,0.25,4200,760,72040
FINNIFTY02JAN2419000PE.NFO,02/01/2024,09:31:10,0.25,0.2,38160,0.25,4200,0,72040
FINNIFTY02JAN2419000PE.NFO,02/01/2024,09:31:20,0.2,0.2,38040,0.25,3680,640,72040
FINNIFTY02JAN2419000PE.NFO,02/01/2024,09:31:39,0.2,0.2,37160,0.25,3680,880,72040
FINNIFTY02JAN2419000PE.NFO,02/01/2024,09:31:59,0.2,0.2,37160,0.25,3680,0,72040
FINNIFTY02JAN2419000PE.NFO,02/01/2024,09:32:08,0.25,0.2,37160,0.25,3280,400,72040
FINNIFTY02JAN2419000PE.NFO,02/01/2024,09:32:18,0.25,0.2,37160,0.25,3280,0,72040
FINNIFTY02JAN2419000PE.NFO,02/01/2024,09:32:28,0.2,0.2,36960,0.25,3280,200,72040
FINNIFTY02JAN2419000PE.NFO,02/01/2024,09:33:26,0.25,0.2,36960,0.25,3520,120,74240
FINNIFTY02JAN2419000PE.NFO,02/01/2024,09:33:36,0.25,0.2,36960,0.25,3400,120,74240
FINNIFTY02JAN2419000PE.NFO,02/01/2024,09:33:45,0.25,0.2,37600,0.25,4320,120,74240
FINNIFTY02JAN2419000PE.NFO,02/01/2024,09:33:55,0.25,0.2,37600,0.25,4320,0,74240
FINNIFTY02JAN2419000PE.NFO,02/01/2024,09:34:05,0.25,0.2,37600,0.25,3560,120,74240
FINNIFTY02JAN2419000PE.NFO,02/01/2024,09:34:14,0.25,0.2,37600,0.25,3560,0,74240
FINNIFTY02JAN2419000PE.NFO,02/01/2024,09:34:23,0.2,0.2,37560,0.25,3560,40,74240
FINNIFTY02JAN2419000PE.NFO,02/01/2024,09:34:41,0.2,0.2,37560,0.25,3560,0,74240
FINNIFTY02JAN2419000PE.NFO,02/01/2024,09:34:50,0.2,0.2,37520,0.25,3560,40,74240
FINNIFTY02JAN2419000PE.NFO,02/01/2024,09:34:59,0.25,0.2,37480,0.25,3200,160,74240
FINNIFTY02JAN2419000PE.NFO,02/01/2024,09:35:08,0.25,0.2,37480,0.25,3320,120,74240
FINNIFTY02JAN2419000PE.NFO,02/01/2024,09:35:17,0.25,0.2,39280,0.25,3320,0,74240
FINNIFTY02JAN2419000PE.NFO,02/01/2024,09:35:27,0.25,0.2,39280,0.25,5240,120,74240
FINNIFTY02JAN2419000PE.NFO,02/01/2024,09:35:37,0.25,0.2,39280,0.25,3480,0,74240
FINNIFTY02JAN2419000PE.NFO,02/01/2024,09:35:46,0.25,0.2,39280,0.25,3200,280,75080
FINNIFTY02JAN2419000PE.NFO,02/01/2024,09:36:24,0.25,0.2,39280,0.25,2960,240,75080
FINNIFTY02JAN2419000PE.NFO,02/01/2024,09:36:33,0.25,0.2,40520,0.25,1680,1920,75080
FINNIFTY02JAN2419000PE.NFO,02/01/2024,09:36:51,0.25,0.2,40520,0.25,1560,120,75080
FINNIFTY02JAN2419000PE.NFO,02/01/2024,09:38:10,0.25,0.2,40520,0.25,1800,0,75080
FINNIFTY02JAN2419000PE.NFO,02/01/2024,09:38:19,0.25,0.2,40520,0.25,1840,0,75080
FINNIFTY02JAN2419000PE.NFO,02/01/2024,09:38:48,0.25,0.2,40520,0.25,3280,0,75080
FINNIFTY02JAN2419000PE.NFO,02/01/2024,09:38:57,0.25,0.2,40520,0.25,7160,0,75080
FINNIFTY02JAN2419000PE.NFO,02/01/2024,09:40:05,0.2,0.2,40480,0.25,7160,40,77640
FINNIFTY02JAN2419000PE.NFO,02/01/2024,09:40:36,0.2,0.2,40480,0.25,7160,0,77640
FINNIFTY02JAN2419000PE.NFO,02/01/2024,09:40:57,0.2,0.2,40480,0.25,14360,0,77640
FINNIFTY02JAN2419000PE.NFO,02/01/2024,09:41:07,0.2,0.2,40480,0.25,17240,0,77640
FINNIFTY02JAN2419000PE.NFO,02/01/2024,09:42:44,0.2,0.2,30480,0.25,25880,10000,77640
FINNIFTY02JAN2419000PE.NFO,02/01/2024,09:42:53,0.2,0.2,20760,0.25,36240,10000,77640
FINNIFTY02JAN2419000PE.NFO,02/01/2024,09:43:14,0.2,0.2,20920,0.25,36240,0,77640
FINNIFTY02JAN2419000PE.NFO,02/01/2024,09:43:34,0.2,0.2,19720,0.25,37680,1200,77640
FINNIFTY02JAN2419000PE.NFO,02/01/2024,09:43:44,0.2,0.2,15400,0.25,37680,0,77640
FINNIFTY02JAN2419000PE.NFO,02/01/2024,09:43:53,0.2,0.2,12520,0.25,37520,0,77640
FINNIFTY02JAN2419000PE.NFO,02/01/2024,09:44:30,0.2,0.2,10720,0.25,37520,0,77640
FINNIFTY02JAN2419000PE.NFO,02/01/2024,09:44:39,0.2,0.2,8920,0.25,37520,0,77640
FINNIFTY02JAN2419000PE.NFO,02/01/2024,09:44:57,0.2,0.2,8920,0.25,36240,0,77640
FINNIFTY02JAN2419000PE.NFO,02/01/2024,09:45:07,0.2,0.2,8920,0.25,37680,0,77640
FINNIFTY02JAN2419000PE.NFO,02/01/2024,09:45:35,0.2,0.2,7520,0.25,37680,1400,97400
FINNIFTY02JAN2419000PE.NFO,02/01/2024,09:46:04,0.25,0.2,7520,0.25,37560,120,97400
FINNIFTY02JAN2419000PE.NFO,02/01/2024,09:46:14,0.25,0.2,7800,0.25,37280,280,97400
FINNIFTY02JAN2419000PE.NFO,02/01/2024,09:46:24,0.25,0.2,7800,0.25,39040,0,97400
FINNIFTY02JAN2419000PE.NFO,02/01/2024,09:46:33,0.25,0.2,7800,0.25,38840,120,97400
FINNIFTY02JAN2419000PE.NFO,02/01/2024,09:47:20,0.25,0.2,7800,0.25,40640,0,97400
FINNIFTY02JAN2419000PE.NFO,02/01/2024,09:48:05,0.25,0.2,7800,0.25,40600,0,97400
FINNIFTY02JAN2419000PE.NFO,02/01/2024,09:49:38,0.2,0.2,6760,0.25,40600,1040,98280
FINNIFTY02JAN2419000PE.NFO,02/01/2024,09:50:05,0.2,0.2,6760,0.25,40640,0,98280
FINNIFTY02JAN2419000PE.NFO,02/01/2024,09:51:47,0.2,0.2,6760,0.25,42440,0,98280
FINNIFTY02JAN2419000PE.NFO,02/01/2024,09:53:27,0.2,0.2,6720,0.25,42440,40,97240
FINNIFTY02JAN2419000PE.NFO,02/01/2024,09:53:36,0.2,0.2,6720,0.25,42440,0,97240
FINNIFTY02JAN2419000PE.NFO,02/01/2024,09:55:01,0.2,0.2,8000,0.25,42400,480,97200
FINNIFTY02JAN2419000PE.NFO,02/01/2024,09:55:42,0.2,0.2,8000,0.25,42400,0,97200
FINNIFTY02JAN2419000PE.NFO,02/01/2024,09:56:03,0.2,0.2,7800,0.25,42400,200,97200
FINNIFTY02JAN2419000PE.NFO,02/01/2024,09:56:29,0.2,0.2,7800,0.25,42400,0,97200
FINNIFTY02JAN2419000PE.NFO,02/01/2024,09:56:41,0.2,0.2,8800,0.25,38800,3800,96520
FINNIFTY02JAN2419000PE.NFO,02/01/2024,09:56:53,0.2,0.2,3760,0.25,36400,760,96520
FINNIFTY02JAN2419000PE.NFO,02/01/2024,09:57:04,0.2,0.2,7800,0.25,36400,200,96520
FINNIFTY02JAN2419000PE.NFO,02/01/2024,09:57:17,0.2,0.2,7800,0.25,36400,0,96520
FINNIFTY02JAN2419000PE.NFO,02/01/2024,09:57:30,0.2,0.2,3560,0.25,36400,0,96520
FINNIFTY02JAN2419000PE.NFO,02/01/2024,09:58:05,0.2,0.2,3360,0.25,39840,200,96520
FINNIFTY02JAN2419000PE.NFO,02/01/2024,09:58:16,0.2,0.15,85520,0.2,240,3360,96520
FINNIFTY02JAN2419000PE.NFO,02/01/2024,09:58:41,0.2,0.15,89120,0.2,240,0,96520
