Ticker,Date,Time,LTP,BuyPrice,BuyQty,SellPrice,SellQty,LTQ,OpenInterest
FINNIFTY02JAN2421650CE.NFO,02/01/2024,09:15:00,6.7,2.75,120,2.95,120,13680,2100360
FINNIFTY02JAN2421650CE.NFO,02/01/2024,09:15:00,6.7,2.75,120,2.95,120,0,2100360
FINNIFTY02JAN2421650CE.NFO,02/01/2024,09:15:00,6.7,2.75,120,2.95,120,0,2100360
FINNIFTY02JAN2421650CE.NFO,02/01/2024,09:15:00,2.3,2.75,120,2.95,120,0,2100360
FINNIFTY02JAN2421650CE.NFO,02/01/2024,09:15:01,2.35,2.35,120,2.45,1120,40600,2100360
FINNIFTY02JAN2421650CE.NFO,02/01/2024,09:15:03,1.85,1.85,680,2,1240,75320,2100360
FINNIFTY02JAN2421650CE.NFO,02/01/2024,09:15:03,1.85,1.85,680,2,1240,0,2100360
FINNIFTY02JAN2421650CE.NFO,02/01/2024,09:15:05,2.5,2.5,200,2.55,400,62960,2100360
FINNIFTY02JAN2421650CE.NFO,02/01/2024,09:15:05,1.65,2.5,200,2.55,400,0,2100360
FINNIFTY02JAN2421650CE.NFO,02/01/2024,09:15:06,2.4,2.3,2280,2.4,2600,61840,2100360
FINNIFTY02JAN2421650CE.NFO,02/01/2024,09:15:08,2.45,2.4,5520,2.45,3080,84920,2100360
FINNIFTY02JAN2421650CE.NFO,02/01/2024,09:15:10,2.3,2.25,4560,2.3,6400,93240,2100360
FINNIFTY02JAN2421650CE.NFO,02/01/2024,09:15:11,2,1.95,11360,2,5560,151840,2100360
FINNIFTY02JAN2421650CE.NFO,02/01/2024,09:15:13,2.15,2.1,4480,2.15,10640,161760,2100360
FINNIFTY02JAN2421650CE.NFO,02/01/2024,09:15:14,1.85,1.8,7960,1.85,200,106800,2100360
FINNIFTY02JAN2421650CE.NFO,02/01/2024,09:15:16,2,1.95,13320,2,8760,159400,2100360
FINNIFTY02JAN2421650CE.NFO,02/01/2024,09:15:18,2,1.95,8200,2,10480,144600,2100360
FINNIFTY02JAN2421650CE.NFO,02/01/2024,09:15:19,1.9,1.85,4760,1.9,18720,84840,2100360
FINNIFTY02JAN2421650CE.NFO,02/01/2024,09:15:21,1.85,1.8,4240,1.85,11960,98920,2100360
FINNIFTY02JAN2421650CE.NFO,02/01/2024,09:15:23,1.8,1.8,5560,1.85,12080,93640,2100360
FINNIFTY02JAN2421650CE.NFO,02/01/2024,09:15:24,1.75,1.7,14960,1.75,7280,51480,2100360
FINNIFTY02JAN2421650CE.NFO,02/01/2024,09:15:26,1.8,1.75,6040,1.8,22720,42800,2100360
FINNIFTY02JAN2421650CE.NFO,02/01/2024,09:15:28,1.85,1.85,7240,1.9,7880,347320,2100360
FINNIFTY02JAN2421650CE.NFO,02/01/2024,09:15:29,1.9,1.85,6160,1.9,9360,82240,2100360
FINNIFTY02JAN2421650CE.NFO,02/01/2024,09:15:31,1.8,1.75,15120,1.8,4120,83080,2100360
FINNIFTY02JAN2421650CE.NFO,02/01/2024,09:15:32,1.85,1.8,9200,1.85,20520,65920,2100360
FINNIFTY02JAN2421650CE.NFO,02/01/2024,09:15:34,1.75,1.75,19200,1.8,14440,52920,2100360
FINNIFTY02JAN2421650CE.NFO,02/01/2024,09:15:36,1.8,1.8,480,1.85,45840,64720,2100360
FINNIFTY02JAN2421650CE.NFO,02/01/2024,09:15:37,1.85,1.85,12920,1.9,20400,77000,2100360
FINNIFTY02JAN2421650CE.NFO,02/01/2024,09:15:39,1.95,1.9,16840,1.95,11480,87600,2100360
FINNIFTY02JAN2421650CE.NFO,02/01/2024,09:15:40,1.95,1.95,14000,2,13440,116320,2100360
FINNIFTY02JAN2421650CE.NFO,02/01/2024,09:15:42,1.95,1.9,23320,1.95,7880,72360,2100360
FINNIFTY02JAN2421650CE.NFO,02/01/2024,09:15:44,2,1.95,15680,2,14560,54360,2100360
FINNIFTY02JAN2421650CE.NFO,02/01/2024,09:15:45,1.95,1.95,33000,2,25920,48120,2100360
FINNIFTY02JAN2421650CE.NFO,02/01/2024,09:15:47,2,1.95,22440,2,28720,87480,2100360
FINNIFTY02JAN2421650CE.NFO,02/01/2024,09:15:49,1.95,1.9,33400,1.95,13720,73000,2100360
FINNIFTY02JAN2421650CE.NFO,02/01/2024,09:15:50,1.9,1.9,17360,1.95,25440,44960,2100360
FINNIFTY02JAN2421650CE.NFO,02/01/2024,09:15:52,1.9,1.9,7080,1.95,19120,132800,2100360
FINNIFTY02JAN2421650CE.NFO,02/01/2024,09:15:54,1.9,1.85,14440,1.9,26080,96560,2100360
FINNIFTY02JAN2421650CE.NFO,02/01/2024,09:15:55,1.85,1.8,23200,1.85,23920,116120,2100360
FINNIFTY02JAN2421650CE.NFO,02/01/2024,09:15:57,1.85,1.8,4960,1.85,34240,75160,2100360
FINNIFTY02JAN2421650CE.NFO,02/01/2024,09:15:58,1.8,1.75,7680,1.8,34440,71480,2100360
FINNIFTY02JAN2421650CE.NFO,02/01/2024,09:16:00,1.75,1.75,2480,1.8,43360,102040,2100360
FINNIFTY02JAN2421650CE.NFO,02/01/2024,09:16:02,1.65,1.6,51280,1.65,40760,59080,2100360
FINNIFTY02JAN2421650CE.NFO,02/01/2024,09:16:02,1.6,1.6,51280,1.65,40760,0,2100360
FINNIFTY02JAN2421650CE.NFO,02/01/2024,09:16:03,1.7,1.65,44960,1.7,30920,92600,2100360
FINNIFTY02JAN2421650CE.NFO,02/01/2024,09:16:05,1.7,1.65,45280,1.7,28960,102880,2100360
FINNIFTY02JAN2421650CE.NFO,02/01/2024,09:16:06,1.8,1.75,61280,1.8,30880,117680,2100360
FINNIFTY02JAN2421650CE.NFO,02/01/2024,09:16:08,1.85,1.8,24240,1.85,53040,142240,2100360
FINNIFTY02JAN2421650CE.NFO,02/01/2024,09:16:10,1.65,1.65,50760,1.7,36160,120440,2100360
FINNIFTY02JAN2421650CE.NFO,02/01/2024,09:16:11,1.8,1.8,41480,1.85,39360,61560,2100360
FINNIFTY02JAN2421650CE.NFO,02/01/2024,09:16:13,1.8,1.8,27800,1.85,58760,129440,2100360
FINNIFTY02JAN2421650CE.NFO,02/01/2024,09:16:14,1.8,1.75,9680,1.8,63000,131520,2100360
FINNIFTY02JAN2421650CE.NFO,02/01/2024,09:16:16,1.8,1.75,32320,1.8,59520,84840,2100360
FINNIFTY02JAN2421650CE.NFO,02/01/2024,09:16:18,1.8,1.75,72400,1.8,29240,41560,2100360
FINNIFTY02JAN2421650CE.NFO,02/01/2024,09:16:19,1.8,1.75,52280,1.8,56040,41800,2100360
FINNIFTY02JAN2421650CE.NFO,02/01/2024,09:16:21,1.8,1.75,42680,1.8,68200,104720,2100360
