Ticker,Date,Time,LTP,BuyPrice,BuyQty,SellPrice,SellQty,LTQ,OpenInterest
FINNIFTY02JAN2420250PE.NFO,02/01/2024,09:15:02,0.1,0.25,1400,0.45,880,1200,39200
FINNIFTY02JAN2420250PE.NFO,02/01/2024,09:15:02,0.1,0.25,1400,0.45,880,0,39200
FINNIFTY02JAN2420250PE.NFO,02/01/2024,09:15:02,0.25,0.25,1400,0.45,880,0,39200
FINNIFTY02JAN2420250PE.NFO,02/01/2024,09:15:02,0.1,0.25,1400,0.45,880,0,39200
FINNIFTY02JAN2420250PE.NFO,02/01/2024,09:15:16,0.35,0.3,880,0.35,1200,2880,39200
FINNIFTY02JAN2420250PE.NFO,02/01/2024,09:15:16,0.45,0.3,880,0.35,1200,0,39200
FINNIFTY02JAN2420250PE.NFO,02/01/2024,09:15:28,0.25,0.2,18720,0.3,1960,3160,39200
FINNIFTY02JAN2420250PE.NFO,02/01/2024,09:15:39,0.25,0.2,25840,0.25,4800,4520,39200
FINNIFTY02JAN2420250PE.NFO,02/01/2024,09:15:50,0.25,0.2,33360,0.25,4600,2160,39200
FINNIFTY02JAN2420250PE.NFO,02/01/2024,09:16:00,0.25,0.25,4280,0.3,2680,6600,39200
FINNIFTY02JAN2420250PE.NFO,02/01/2024,09:16:12,0.25,0.25,1560,0.3,2000,4280,39200
FINNIFTY02JAN2420250PE.NFO,02/01/2024,09:16:22,0.25,0.25,1560,0.3,2120,0,39200
FINNIFTY02JAN2420250PE.NFO,02/01/2024,09:16:31,0.25,0.25,5240,0.3,2800,1080,39200
FINNIFTY02JAN2420250PE.NFO,02/01/2024,09:16:41,0.25,0.25,1840,0.3,1600,400,39200
FINNIFTY02JAN2420250PE.NFO,02/01/2024,09:16:50,0.25,0.25,13080,0.3,2920,280,39200
FINNIFTY02JAN2420250PE.NFO,02/01/2024,09:17:00,0.3,0.25,13560,0.3,2480,920,39200
FINNIFTY02JAN2420250PE.NFO,02/01/2024,09:17:10,0.3,0.25,14200,0.3,2200,1200,39200
FINNIFTY02JAN2420250PE.NFO,02/01/2024,09:17:19,0.3,0.25,14800,0.3,2440,0,39200
FINNIFTY02JAN2420250PE.NFO,02/01/2024,09:17:29,0.35,0.3,1480,0.35,5640,5800,39600
FINNIFTY02JAN2420250PE.NFO,02/01/2024,09:17:39,0.35,0.3,2800,0.35,18120,1800,39600
FINNIFTY02JAN2420250PE.NFO,02/01/2024,09:17:48,0.3,0.25,14760,0.3,1400,3040,39600
FINNIFTY02JAN2420250PE.NFO,02/01/2024,09:17:58,0.3,0.25,14760,0.3,1400,0,39600
FINNIFTY02JAN2420250PE.NFO,02/01/2024,09:18:07,0.3,0.3,3240,0.35,22040,1400,39600
FINNIFTY02JAN2420250PE.NFO,02/01/2024,09:18:17,0.35,0.3,2640,0.35,19840,1000,39600
FINNIFTY02JAN2420250PE.NFO,02/01/2024,09:18:26,0.3,0.3,4320,0.35,20920,200,39600
FINNIFTY02JAN2420250PE.NFO,02/01/2024,09:18:46,0.3,0.3,2640,0.35,22280,3040,39600
FINNIFTY02JAN2420250PE.NFO,02/01/2024,09:18:55,0.35,0.3,2440,0.35,22240,440,39600
FINNIFTY02JAN2420250PE.NFO,02/01/2024,09:19:06,0.35,0.3,2440,0.35,21800,400,39600
FINNIFTY02JAN2420250PE.NFO,02/01/2024,09:19:15,0.35,0.3,2440,0.35,20000,0,39600
FINNIFTY02JAN2420250PE.NFO,02/01/2024,09:19:25,0.3,0.3,2200,0.35,21840,1520,39600
FINNIFTY02JAN2420250PE.NFO,02/01/2024,09:19:35,0.35,0.3,2280,0.35,15560,200,39600
FINNIFTY02JAN2420250PE.NFO,02/01/2024,09:19:45,0.3,0.25,13840,0.3,7040,1800,39600
FINNIFTY02JAN2420250PE.NFO,02/01/2024,09:19:55,0.3,0.25,14680,0.3,7120,4360,39600
